process,software,data item,data model,data format specification
business process integration,cloud visualization,,,
business process integration,cad programming interface,,,
business process integration,oracle,,,
business process integration,,forms,,
business process integration,,audio,,
business process integration,,live video,,
business process integration,,quantity,,
business process integration,,tools needed,,
business process integration,,sysml model,,
business process integration,,business logic,,
business process integration,,system definition,,
business process integration,,material,,
business process integration,,external web page,,
business process integration,,tooling parts,,
business process integration,,measurement data,,
business process integration,,design parts,,
business process integration,,description,,
business process integration,,object definitions,,
business process integration,,documents,,
business process integration,,taxonomy,,
business process integration,,bom,,
business process integration,,implicit geometry,,
business process integration,,explicit geometry,,
business process integration,,metadata,,
business process integration,,ontology,,
business process integration,,section description,,
business process integration,,process definitions,,
business process integration,,manufacturing method,,
business process integration,,knowledge base,,
business process integration,,word doc,,
business process integration,,cad,,
business process integration,,animation,,
business process integration,,cad representation,,
business process integration,,cfd simulation data,,
business process integration,,images,,
business process integration,,image,,
business process integration,,difficulty,,
business process integration,,knowledge graph,,
business process integration,,assemblies,,
business process integration,,cfd code,,
business process integration,,video,,
business process integration,,mind map,,
business process integration,,,aerospace ontology,
business process integration,,,owl-ql,
business process integration,,,owl dl,
business process integration,,,uml,
business process integration,,,sysml ,
business process integration,,,topic maps,
business process integration,,,sql,
business process integration,,,xml-schema-definition,
business process integration,,,rds,
business process integration,,,nasa taxonomy,
business process integration,,,python,
business process integration,,,sysml,
business process integration,,,sparql,
business process integration,,,express,
business process integration,,,vba,
business process integration,,,,igs
business process integration,,,,mov
business process integration,,,,ad_asm
business process integration,,,,direct api
business process integration,,,,database
business process integration,,,,wav
business process integration,,,,ms excel
business process integration,,,,stl
business process integration,,,,json
business process integration,,,,xml
business process integration,,,,step
business process integration,,,,pdf
business process integration,,,,vrml
business process integration,,,,html
business process integration,,,,owl
business process integration,,,,add
business process integration,,,,flat file
business process integration,,,,ms word
business process integration,,,,tiff
business process integration,,,,rdf
business process integration,,,,csv
training,express application,,,
training,git,,,
training,web server,,,
training,fortran application,,,
training,matlab,,,
training,multi-agent collaborative system,,,
training,triple store,,,
training,api,,,
training,google,,,
training,pest,,,
training,web-based decision tool,,,
training,java application,,,
training,catia,,,
training,learning tools,,,
training,file server,,,
training,tr,,,
training,product data management system,,,
training,excel,,,
training,share point,,,
training,eclipse,,,
training,solidworks,,,
training, engineering java programming,,,
training,outlook,,,
training,access,,,
training,visualization package,,,
training,wikipedia,,,
training,ke-chain,,,
training,expert systems,,,
training,rce,,,
training,python application,,,
training,workflow systems,,,
training,data mining,,,
training,word,,,
training,cloud visualization,,,
training,cad programming interface,,,
training,,forms,,
training,,audio,,
training,,live video,,
training,,quantity,,
training,,tools needed,,
training,,sysml model,,
training,,business logic,,
training,,system definition,,
training,,material,,
training,,external web page,,
training,,tooling parts,,
training,,measurement data,,
training,,design parts,,
training,,description,,
training,,object definitions,,
training,,documents,,
training,,taxonomy,,
training,,bom,,
training,,implicit geometry,,
training,,explicit geometry,,
training,,metadata,,
training,,ontology,,
training,,section description,,
training,,process definitions,,
training,,manufacturing method,,
training,,knowledge base,,
training,,word doc,,
training,,cad,,
training,,animation,,
training,,cad representation,,
training,,cfd simulation data,,
training,,images,,
training,,image,,
training,,difficulty,,
training,,knowledge graph,,
training,,assemblies,,
training,,cfd code,,
training,,video,,
training,,mind map,,
training,,,aerospace ontology,
training,,,owl dl,
training,,,uml,
training,,,sysml ,
training,,,topic maps,
training,,,sql,
training,,,xml-schema-definition,
training,,,rds,
training,,,nasa taxonomy,
training,,,python,
training,,,sysml,
training,,,sparql,
training,,,cco,
training,,,express,
training,,,vba,
training,,,,igs
training,,,,mov
training,,,,cpacs
training,,,,ad_asm
training,,,,direct api
training,,,,database
training,,,,wav
training,,,,ms excel
training,,,,stl
training,,,,json
training,,,,xml
training,,,,step
training,,,,pdf
training,,,,vrml
training,,,,html
training,,,,owl
training,,,,add
training,,,,flat file
training,,,,ms word
training,,,,tiff
training,,,,rdf
preliminary design,express application,,,
preliminary design,oracle server,,,
preliminary design,isight,,,
preliminary design,git,,,
preliminary design,aaa,,,
preliminary design,web server,,,
preliminary design,fortran application,,,
preliminary design,matlab,,,
preliminary design,multi-agent collaborative system,,,
preliminary design,triple store,,,
preliminary design,api,,,
preliminary design,google,,,
preliminary design,pest,,,
preliminary design,web-based decision tool,,,
preliminary design,java application,,,
preliminary design,learning tools,,,
preliminary design,file server,,,
preliminary design,tr,,,
preliminary design,optimus,,,
preliminary design,prado,,,
preliminary design,product data management system,,,
preliminary design,protégé,,,
preliminary design,excel,,,
preliminary design,share point,,,
preliminary design,sas,,,
preliminary design,reasoner,,,
preliminary design, engineering java programming,,,
preliminary design,outlook,,,
preliminary design,access,,,
preliminary design,visualization package,,,
preliminary design,ke-chain,,,
preliminary design,expert systems,,,
preliminary design,rce,,,
preliminary design,python application,,,
preliminary design,flops,,,
preliminary design,workflow systems,,,
preliminary design,data mining,,,
preliminary design,word,,,
preliminary design,cloud visualization,,,
preliminary design,modelcenter,,,
preliminary design,cad programming interface,,,
preliminary design,oracle,,,
preliminary design,,forms,,
preliminary design,,audio,,
preliminary design,,live video,,
preliminary design,,quantity,,
preliminary design,,tools needed,,
preliminary design,,sysml model,,
preliminary design,,business logic,,
preliminary design,,system definition,,
preliminary design,,material,,
preliminary design,,external web page,,
preliminary design,,tooling parts,,
preliminary design,,measurement data,,
preliminary design,,design parts,,
preliminary design,,description,,
preliminary design,,object definitions,,
preliminary design,,documents,,
preliminary design,,taxonomy,,
preliminary design,,bom,,
preliminary design,,implicit geometry,,
preliminary design,,explicit geometry,,
preliminary design,,metadata,,
preliminary design,,ontology,,
preliminary design,,section description,,
preliminary design,,process definitions,,
preliminary design,,manufacturing method,,
preliminary design,,knowledge base,,
preliminary design,,word doc,,
preliminary design,,cad,,
preliminary design,,animation,,
preliminary design,,cad representation,,
preliminary design,,cfd simulation data,,
preliminary design,,image,,
preliminary design,,difficulty,,
preliminary design,,knowledge graph,,
preliminary design,,cfd code,,
preliminary design,,video,,
preliminary design,,mind map,,
preliminary design,,,aerospace ontology,
preliminary design,,,owl-ql,
preliminary design,,,owl dl,
preliminary design,,,uml,
preliminary design,,,sysml ,
preliminary design,,,topic maps,
preliminary design,,,sql,
preliminary design,,,xml-schema-definition,
preliminary design,,,rds,
preliminary design,,,nasa taxonomy,
preliminary design,,,python,
preliminary design,,,sysml,
preliminary design,,,sparql,
preliminary design,,,openvsp,
preliminary design,,,express,
preliminary design,,,vba,
preliminary design,,,,igs
preliminary design,,,,cpacs
preliminary design,,,,ad_asm
preliminary design,,,,direct api
preliminary design,,,,database
preliminary design,,,,ms excel
preliminary design,,,,stl
preliminary design,,,,json
preliminary design,,,,xml
preliminary design,,,,step
preliminary design,,,,pdf
preliminary design,,,,html
preliminary design,,,,owl
preliminary design,,,,add
preliminary design,,,,flat file
preliminary design,,,,ms word
preliminary design,,,,rdf
preliminary design,,,,csv
information clustering,express application,,,
information clustering,web server,,,
information clustering,multi-agent collaborative system,,,
information clustering,triple store,,,
information clustering,api,,,
information clustering,google,,,
information clustering,web-based decision tool,,,
information clustering,java application,,,
information clustering,learning tools,,,
information clustering,file server,,,
information clustering,tr,,,
information clustering,product data management system,,,
information clustering,excel,,,
information clustering,share point,,,
information clustering, engineering java programming,,,
information clustering,access,,,
information clustering,ke-chain,,,
information clustering,expert systems,,,
information clustering,rce,,,
information clustering,python application,,,
information clustering,workflow systems,,,
information clustering,data mining,,,
information clustering,word,,,
information clustering,cad programming interface,,,
information clustering,,audio,,
information clustering,,live video,,
information clustering,,business logic,,
information clustering,,system definition,,
information clustering,,material,,
information clustering,,external web page,,
information clustering,,measurement data,,
information clustering,,design parts,,
information clustering,,description,,
information clustering,,documents,,
information clustering,,metadata,,
information clustering,,ontology,,
information clustering,,section description,,
information clustering,,manufacturing method,,
information clustering,,knowledge base,,
information clustering,,word doc,,
information clustering,,cad,,
information clustering,,cad representation,,
information clustering,,image,,
information clustering,,difficulty,,
information clustering,,knowledge graph,,
information clustering,,video,,
information clustering,,mind map,,
information clustering,,,aerospace ontology,
information clustering,,,owl dl,
information clustering,,,uml,
information clustering,,,topic maps,
information clustering,,,sql,
information clustering,,,xml-schema-definition,
information clustering,,,wordnet,
information clustering,,,python,
information clustering,,,sparql,
information clustering,,,cco,
information clustering,,,express,
information clustering,,,,direct api
information clustering,,,,database
information clustering,,,,ms excel
information clustering,,,,xml
information clustering,,,,step
information clustering,,,,pdf
information clustering,,,,html
information clustering,,,,owl
information clustering,,,,add
information clustering,,,,ms word
information clustering,,,,rdf
knowledge interaction,express application,,,
knowledge interaction,brics,,,
knowledge interaction,ug,,,
knowledge interaction,git,,,
knowledge interaction,web server,,,
knowledge interaction,fortran application,,,
knowledge interaction,matlab,,,
knowledge interaction,multi-agent collaborative system,,,
knowledge interaction,triple store,,,
knowledge interaction,ideas,,,
knowledge interaction,api,,,
knowledge interaction,google,,,
knowledge interaction,pest,,,
knowledge interaction,web-based decision tool,,,
knowledge interaction,java application,,,
knowledge interaction,catia,,,
knowledge interaction,learning tools,,,
knowledge interaction,file server,,,
knowledge interaction,tr,,,
knowledge interaction,product data management system,,,
knowledge interaction,protégé,,,
knowledge interaction,excel,,,
knowledge interaction,share point,,,
knowledge interaction,eclipse,,,
knowledge interaction,brics technology,,,
knowledge interaction,sas,,,
knowledge interaction,reasoner,,,
knowledge interaction,solidworks,,,
knowledge interaction, engineering java programming,,,
knowledge interaction,outlook,,,
knowledge interaction,access,,,
knowledge interaction,visualization package,,,
knowledge interaction,wikipedia,,,
knowledge interaction,ke-chain,,,
knowledge interaction,expert systems,,,
knowledge interaction,rce,,,
knowledge interaction,python application,,,
knowledge interaction,flops,,,
knowledge interaction,workflow systems,,,
knowledge interaction,data mining,,,
knowledge interaction,word,,,
knowledge interaction,cloud visualization,,,
knowledge interaction,cad programming interface,,,
knowledge interaction,,forms,,
knowledge interaction,,audio,,
knowledge interaction,,live video,,
knowledge interaction,,quantity,,
knowledge interaction,,tools needed,,
knowledge interaction,,sysml model,,
knowledge interaction,,business logic,,
knowledge interaction,,system definition,,
knowledge interaction,,material,,
knowledge interaction,,external web page,,
knowledge interaction,,tooling parts,,
knowledge interaction,,measurement data,,
knowledge interaction,,design parts,,
knowledge interaction,,description,,
knowledge interaction,,object definitions,,
knowledge interaction,,documents,,
knowledge interaction,,taxonomy,,
knowledge interaction,,bom,,
knowledge interaction,,implicit geometry,,
knowledge interaction,,explicit geometry,,
knowledge interaction,,metadata,,
knowledge interaction,,ontology,,
knowledge interaction,,section description,,
knowledge interaction,,process definitions,,
knowledge interaction,,manufacturing method,,
knowledge interaction,,knowledge base,,
knowledge interaction,,word doc,,
knowledge interaction,,cad,,
knowledge interaction,,animation,,
knowledge interaction,,cad representation,,
knowledge interaction,,cfd simulation data,,
knowledge interaction,,images,,
knowledge interaction,,image,,
knowledge interaction,,difficulty,,
knowledge interaction,,knowledge graph,,
knowledge interaction,,assemblies,,
knowledge interaction,,cfd code,,
knowledge interaction,,video,,
knowledge interaction,,mind map,,
knowledge interaction,,,aerospace ontology,
knowledge interaction,,,owl-ql,
knowledge interaction,,,owl dl,
knowledge interaction,,,uml,
knowledge interaction,,,sysml ,
knowledge interaction,,,topic maps,
knowledge interaction,,,sql,
knowledge interaction,,,xml-schema-definition,
knowledge interaction,,,rds,
knowledge interaction,,,nasa taxonomy,
knowledge interaction,,,python,
knowledge interaction,,,sysml,
knowledge interaction,,,sparql,
knowledge interaction,,,cco,
knowledge interaction,,,express,
knowledge interaction,,,vba,
knowledge interaction,,,,igs
knowledge interaction,,,,mov
knowledge interaction,,,,ad_asm
knowledge interaction,,,,direct api
knowledge interaction,,,,database
knowledge interaction,,,,wav
knowledge interaction,,,,ms excel
knowledge interaction,,,,stl
knowledge interaction,,,,json
knowledge interaction,,,,xml
knowledge interaction,,,,step
knowledge interaction,,,,pdf
knowledge interaction,,,,vrml
knowledge interaction,,,,html
knowledge interaction,,,,owl
knowledge interaction,,,,add
knowledge interaction,,,,flat file
knowledge interaction,,,,ms word
knowledge interaction,,,,tiff
knowledge interaction,,,,rdf
knowledge interaction,,,,csv
semantic lexicon,express application,,,
semantic lexicon,multi-agent collaborative system,,,
semantic lexicon,web-based decision tool,,,
semantic lexicon,learning tools,,,
semantic lexicon,product data management system,,,
semantic lexicon,share point,,,
semantic lexicon,access,,,
semantic lexicon,expert systems,,,
semantic lexicon,data mining,,,
semantic lexicon,word,,,
semantic lexicon,,quantity,,
semantic lexicon,,tools needed,,
semantic lexicon,,sysml model,,
semantic lexicon,,business logic,,
semantic lexicon,,system definition,,
semantic lexicon,,material,,
semantic lexicon,,external web page,,
semantic lexicon,,measurement data,,
semantic lexicon,,description,,
semantic lexicon,,documents,,
semantic lexicon,,taxonomy,,
semantic lexicon,,implicit geometry,,
semantic lexicon,,explicit geometry,,
semantic lexicon,,ontology,,
semantic lexicon,,section description,,
semantic lexicon,,manufacturing method,,
semantic lexicon,,knowledge base,,
semantic lexicon,,cad,,
semantic lexicon,,cad representation,,
semantic lexicon,,difficulty,,
semantic lexicon,,knowledge graph,,
semantic lexicon,,mind map,,
semantic lexicon,,,aerospace ontology,
semantic lexicon,,,uml,
semantic lexicon,,,sysml ,
semantic lexicon,,,topic maps,
semantic lexicon,,,xml-schema-definition,
semantic lexicon,,,nasa taxonomy,
semantic lexicon,,,sysml,
semantic lexicon,,,sparql,
semantic lexicon,,,express,
semantic lexicon,,,,database
semantic lexicon,,,,xml
semantic lexicon,,,,step
semantic lexicon,,,,pdf
semantic lexicon,,,,owl
semantic lexicon,,,,add
semantic lexicon,,,,rdf
multidisciplinary modeling,express application,,,
multidisciplinary modeling,isight,,,
multidisciplinary modeling,git,,,
multidisciplinary modeling,aaa,,,
multidisciplinary modeling,web server,,,
multidisciplinary modeling,fortran application,,,
multidisciplinary modeling,matlab,,,
multidisciplinary modeling,multi-agent collaborative system,,,
multidisciplinary modeling,triple store,,,
multidisciplinary modeling,ideas,,,
multidisciplinary modeling,api,,,
multidisciplinary modeling,google,,,
multidisciplinary modeling,web-based decision tool,,,
multidisciplinary modeling,java application,,,
multidisciplinary modeling,catia,,,
multidisciplinary modeling,learning tools,,,
multidisciplinary modeling,file server,,,
multidisciplinary modeling,tr,,,
multidisciplinary modeling,optimus,,,
multidisciplinary modeling,prado,,,
multidisciplinary modeling,product data management system,,,
multidisciplinary modeling,protégé,,,
multidisciplinary modeling,excel,,,
multidisciplinary modeling,share point,,,
multidisciplinary modeling,eclipse,,,
multidisciplinary modeling,sas,,,
multidisciplinary modeling, engineering java programming,,,
multidisciplinary modeling,outlook,,,
multidisciplinary modeling,access,,,
multidisciplinary modeling,visualization package,,,
multidisciplinary modeling,ke-chain,,,
multidisciplinary modeling,expert systems,,,
multidisciplinary modeling,rce,,,
multidisciplinary modeling,python application,,,
multidisciplinary modeling,flops,,,
multidisciplinary modeling,workflow systems,,,
multidisciplinary modeling,data mining,,,
multidisciplinary modeling,word,,,
multidisciplinary modeling,cloud visualization,,,
multidisciplinary modeling,modelcenter,,,
multidisciplinary modeling,cad programming interface,,,
multidisciplinary modeling,,forms,,
multidisciplinary modeling,,audio,,
multidisciplinary modeling,,live video,,
multidisciplinary modeling,,quantity,,
multidisciplinary modeling,,tools needed,,
multidisciplinary modeling,,sysml model,,
multidisciplinary modeling,,business logic,,
multidisciplinary modeling,,system definition,,
multidisciplinary modeling,,material,,
multidisciplinary modeling,,external web page,,
multidisciplinary modeling,,tooling parts,,
multidisciplinary modeling,,measurement data,,
multidisciplinary modeling,,design parts,,
multidisciplinary modeling,,description,,
multidisciplinary modeling,,object definitions,,
multidisciplinary modeling,,documents,,
multidisciplinary modeling,,taxonomy,,
multidisciplinary modeling,,bom,,
multidisciplinary modeling,,implicit geometry,,
multidisciplinary modeling,,explicit geometry,,
multidisciplinary modeling,,metadata,,
multidisciplinary modeling,,ontology,,
multidisciplinary modeling,,section description,,
multidisciplinary modeling,,process definitions,,
multidisciplinary modeling,,manufacturing method,,
multidisciplinary modeling,,knowledge base,,
multidisciplinary modeling,,word doc,,
multidisciplinary modeling,,cad,,
multidisciplinary modeling,,animation,,
multidisciplinary modeling,,cad representation,,
multidisciplinary modeling,,cfd simulation data,,
multidisciplinary modeling,,image,,
multidisciplinary modeling,,difficulty,,
multidisciplinary modeling,,knowledge graph,,
multidisciplinary modeling,,cfd code,,
multidisciplinary modeling,,video,,
multidisciplinary modeling,,mind map,,
multidisciplinary modeling,,,aerospace ontology,
multidisciplinary modeling,,,owl dl,
multidisciplinary modeling,,,uml,
multidisciplinary modeling,,,sysml ,
multidisciplinary modeling,,,topic maps,
multidisciplinary modeling,,,sql,
multidisciplinary modeling,,,xml-schema-definition,
multidisciplinary modeling,,,nasa taxonomy,
multidisciplinary modeling,,,wordnet,
multidisciplinary modeling,,,python,
multidisciplinary modeling,,,sysml,
multidisciplinary modeling,,,openvsp,
multidisciplinary modeling,,,express,
multidisciplinary modeling,,,vba,
multidisciplinary modeling,,,,igs
multidisciplinary modeling,,,,cpacs
multidisciplinary modeling,,,,direct api
multidisciplinary modeling,,,,database
multidisciplinary modeling,,,,ms excel
multidisciplinary modeling,,,,stl
multidisciplinary modeling,,,,json
multidisciplinary modeling,,,,xml
multidisciplinary modeling,,,,step
multidisciplinary modeling,,,,pdf
multidisciplinary modeling,,,,vrml
multidisciplinary modeling,,,,html
multidisciplinary modeling,,,,owl
multidisciplinary modeling,,,,add
multidisciplinary modeling,,,,flat file
multidisciplinary modeling,,,,ms word
multidisciplinary modeling,,,,rdf
processing,express application,,,
processing,oracle server,,,
processing,isight,,,
processing,ug,,,
processing,git,,,
processing,aaa,,,
processing,web server,,,
processing,fortran application,,,
processing,matlab,,,
processing,multi-agent collaborative system,,,
processing,triple store,,,
processing,ideas,,,
processing,api,,,
processing,google,,,
processing,pest,,,
processing,web-based decision tool,,,
processing,java application,,,
processing,catia,,,
processing,learning tools,,,
processing,file server,,,
processing,tr,,,
processing,optimus,,,
processing,prado,,,
processing,product data management system,,,
processing,protégé,,,
processing,excel,,,
processing,share point,,,
processing,eclipse,,,
processing,sas,,,
processing,reasoner,,,
processing,solidworks,,,
processing, engineering java programming,,,
processing,outlook,,,
processing,access,,,
processing,visualization package,,,
processing,wikipedia,,,
processing,ke-chain,,,
processing,expert systems,,,
processing,rce,,,
processing,python application,,,
processing,flops,,,
processing,workflow systems,,,
processing,data mining,,,
processing,word,,,
processing,cloud visualization,,,
processing,modelcenter,,,
processing,cad programming interface,,,
processing,oracle,,,
processing,,forms,,
processing,,audio,,
processing,,live video,,
processing,,quantity,,
processing,,tools needed,,
processing,,lexical data,,
processing,,sysml model,,
processing,,business logic,,
processing,,system definition,,
processing,,material,,
processing,,external web page,,
processing,,tooling parts,,
processing,,measurement data,,
processing,,design parts,,
processing,,description,,
processing,,object definitions,,
processing,,documents,,
processing,,taxonomy,,
processing,,bom,,
processing,,implicit geometry,,
processing,,explicit geometry,,
processing,,metadata,,
processing,,ontology,,
processing,,section description,,
processing,,process definitions,,
processing,,manufacturing method,,
processing,,knowledge base,,
processing,,word doc,,
processing,,cad,,
processing,,animation,,
processing,,cad representation,,
processing,,cfd simulation data,,
processing,,images,,
processing,,image,,
processing,,difficulty,,
processing,,knowledge graph,,
processing,,assemblies,,
processing,,cfd code,,
processing,,video,,
processing,,mind map,,
processing,,,aerospace ontology,
processing,,,owl-ql,
processing,,,owl dl,
processing,,,uml,
processing,,,sysml ,
processing,,,topic maps,
processing,,,sql,
processing,,,xml-schema-definition,
processing,,,rds,
processing,,,nasa taxonomy,
processing,,,wordnet,
processing,,,python,
processing,,,sysml,
processing,,,sparql,
processing,,,cco,
processing,,,openvsp,
processing,,,express,
processing,,,vba,
processing,,,,igs
processing,,,,mov
processing,,,,cpacs
processing,,,,ad_asm
processing,,,,direct api
processing,,,,database
processing,,,,wav
processing,,,,ms excel
processing,,,,stl
processing,,,,json
processing,,,,xml
processing,,,,step
processing,,,,pdf
processing,,,,vrml
processing,,,,html
processing,,,,owl
processing,,,,add
processing,,,,flat file
processing,,,,ms word
processing,,,,tiff
processing,,,,rdf
processing,,,,csv
information sharing,express application,,,
information sharing,oracle server,,,
information sharing,ug,,,
information sharing,git,,,
information sharing,aaa,,,
information sharing,web server,,,
information sharing,matlab,,,
information sharing,multi-agent collaborative system,,,
information sharing,triple store,,,
information sharing,ideas,,,
information sharing,api,,,
information sharing,google,,,
information sharing,web-based decision tool,,,
information sharing,java application,,,
information sharing,catia,,,
information sharing,learning tools,,,
information sharing,file server,,,
information sharing,tr,,,
information sharing,product data management system,,,
information sharing,protégé,,,
information sharing,excel,,,
information sharing,share point,,,
information sharing,eclipse,,,
information sharing,reasoner,,,
information sharing,solidworks,,,
information sharing, engineering java programming,,,
information sharing,outlook,,,
information sharing,access,,,
information sharing,visualization package,,,
information sharing,wikipedia,,,
information sharing,ke-chain,,,
information sharing,expert systems,,,
information sharing,rce,,,
information sharing,python application,,,
information sharing,workflow systems,,,
information sharing,data mining,,,
information sharing,word,,,
information sharing,cloud visualization,,,
information sharing,cad programming interface,,,
information sharing,oracle,,,
information sharing,,forms,,
information sharing,,audio,,
information sharing,,live video,,
information sharing,,quantity,,
information sharing,,tools needed,,
information sharing,,lexical data,,
information sharing,,sysml model,,
information sharing,,business logic,,
information sharing,,system definition,,
information sharing,,material,,
information sharing,,external web page,,
information sharing,,tooling parts,,
information sharing,,measurement data,,
information sharing,,design parts,,
information sharing,,description,,
information sharing,,object definitions,,
information sharing,,documents,,
information sharing,,taxonomy,,
information sharing,,bom,,
information sharing,,implicit geometry,,
information sharing,,explicit geometry,,
information sharing,,metadata,,
information sharing,,ontology,,
information sharing,,section description,,
information sharing,,process definitions,,
information sharing,,manufacturing method,,
information sharing,,knowledge base,,
information sharing,,word doc,,
information sharing,,cad,,
information sharing,,animation,,
information sharing,,cad representation,,
information sharing,,cfd simulation data,,
information sharing,,images,,
information sharing,,image,,
information sharing,,difficulty,,
information sharing,,knowledge graph,,
information sharing,,assemblies,,
information sharing,,cfd code,,
information sharing,,video,,
information sharing,,mind map,,
information sharing,,,aerospace ontology,
information sharing,,,owl-ql,
information sharing,,,owl dl,
information sharing,,,uml,
information sharing,,,sysml ,
information sharing,,,topic maps,
information sharing,,,sql,
information sharing,,,xml-schema-definition,
information sharing,,,rds,
information sharing,,,nasa taxonomy,
information sharing,,,wordnet,
information sharing,,,python,
information sharing,,,sysml,
information sharing,,,sparql,
information sharing,,,cco,
information sharing,,,express,
information sharing,,,vba,
information sharing,,,,igs
information sharing,,,,mov
information sharing,,,,ad_asm
information sharing,,,,direct api
information sharing,,,,database
information sharing,,,,wav
information sharing,,,,ms excel
information sharing,,,,stl
information sharing,,,,json
information sharing,,,,xml
information sharing,,,,step
information sharing,,,,pdf
information sharing,,,,vrml
information sharing,,,,html
information sharing,,,,owl
information sharing,,,,add
information sharing,,,,flat file
information sharing,,,,ms word
information sharing,,,,tiff
